name,url,category
Drill,https://www.amazon.com/s?k=drill&i=tools&ref=nb_sb_noss_1,Power Tools
Hammer,https://www.amazon.com/s?k=hammer&i=tools&ref=nb_sb_noss_1,Hand Tools
Hanging nails,https://www.amazon.com/s?k=hanging+nails&i=tools&ref=nb_sb_noss_1,Building Materials
Screws,https://www.amazon.com/s?k=screws&i=tools&ref=nb_sb_noss_1,Building Materials
Miscellanous Lumber,https://www.homedepot.com/b/Lumber-Composites/N-5yc1vZbqpg,Lumber
Measuring tape,https://www.amazon.com/s?k=measuring+tape&i=tools&crid=19FGX2LWMVWY&sprefix=meas%2Ctools%2C219&ref=nb_sb_ss_i_1_4,Hand Tools
Pencil,https://www.amazon.com/s?k=pencil,Writing Utensils
Jigsaw,https://www.amazon.com/s?k=jigsaw&ref=nb_sb_noss_2,Power Tools
steel tubing,https://www.homedepot.com/s/steel%2520tubing?NCNI-5,Building Materials
chain link,https://www.amazon.com/s?k=chain+link&ref=nb_sb_noss_2,Building Materials
braided wire,https://www.amazon.com/s?k=braided+wire&ref=nb_sb_noss_2,Building Materials
pony beads,https://www.amazon.com/s?k=pony+beads&ref=nb_sb_noss_2,Crafts
screw eyes,https://www.amazon.com/s?k=screw+eyes&ref=nb_sb_noss_2,Building Materials
chain,https://www.amazon.com/s?k=chain&ref=nb_sb_noss_2,Building Materials
"1/2"" HDPE",https://www.amazon.com/s?k=1%2F2%22+HDPE&ref=nb_sb_noss_2,Building Materials
"1/4"" HDPE",https://www.amazon.com/s?k=1%2F4%22+HDPE&ref=nb_sb_noss_2,Building Materials
60 litre drums,https://www.amazon.co.uk/Litre-Plastic-Blue-Container-Storage/dp/B01AM5RZKA,Container
Hand trolley wheel,https://www.amazon.co.uk/s?k=hand+trolley+wheel,Wheels
Bike wheel,https://www.amazon.com/bike-wheels/b?ie=UTF8&node=3405001,Wheels
steel pipe,https://www.amazon.com/s?k=steel+pipe&rh=n%3A3405001&ref=nb_sb_noss,Piping
square,https://www.amazon.com/gp/product/B00SOVRPXW/ref=as_li_ss_tl?th=1&linkCode=sl1&tag=hdydiy-20&linkId=05b268b8986c490078b576d8d2499789&language=en_US,Hand Tools
Circular Saw,https://www.amazon.com/s?k=circular+saw&rh=n%3A3405001&ref=nb_sb_noss,Power Tools
Impact Driver,https://www.amazon.com/s?k=impact+driver,Power Tools
1/8 Inch Drill Bit,https://www.amazon.com/s?k=1%2F8+Inch+Drill+Bit&ref=nb_sb_noss_2,Building Materials
1x8  cedar boards,https://www.amazon.com/s?k=1x8+cedar+boards&ref=nb_sb_noss_2,Lumber
2x4 cedar boards,https://www.amazon.com/s?k=2x4+cedar+boards&ref=nb_sb_noss_1,Lumber
1x4 cedar boards,https://www.amazon.com/s?k=1x4+cedar+boards&ref=nb_sb_noss_1,Lumber
1x2 cedar boards,https://www.amazon.com/s?k=1x2+cedar+boards&ref=nb_sb_noss_1,Lumber
"2"" Deck Screw",https://www.amazon.com/s?k=2%22+Deck+Screw&ref=nb_sb_noss_2,Building Materials
"1 1/4"" Deck Screw",https://www.amazon.com/s?k=1+1%2F4%22+Deck+Screw&ref=nb_sb_noss_2,Building Materials
Bird Box,https://www.amazon.co.uk/gp/product/0545563712/ref=as_li_tl?ie=UTF8&tag=judpul-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=0545563712&linkId=1d2f36c271f28b1e9bca22b7c56d190a,Structures
WiFi Endoscope,https://www.amazon.co.uk/s?k=wifi+endoscope,Lab Instruments
3ml Syringes,https://www.amazon.com/s?k=3ml+syringe&crid=386KXLQ6CVAI3&sprefix=3ml+s%2Caps%2C218&ref=nb_sb_ss_i_1_5,Lab Supplies
10mm Drill Bit,https://www.amazon.com/s?k=10mm+Drill+Bit&ref=nb_sb_noss_2,Building Materials
File,https://www.amazon.com/s?k=file&ref=nb_sb_noss_2,Hand Tools